[ INFO] [1567166922.398795623, 12.919000000]: odom received!
[ERROR] [1567166983.119092356, 64.761000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567166983.345860543, 64.961000000]: Got new plan
[ INFO] [1567166985.675465170, 66.961000000]: Got new plan
[ INFO] [1567166987.987023181, 68.961000000]: Got new plan
[ INFO] [1567166990.248126532, 70.961000000]: Got new plan
[ INFO] [1567166992.538266863, 72.961000000]: Got new plan
[ INFO] [1567166994.822762832, 74.961000000]: Got new plan
[ INFO] [1567166997.046605348, 76.961000000]: Got new plan
[ INFO] [1567166999.250549816, 78.962000000]: Got new plan
[ INFO] [1567167001.466834963, 80.964000000]: Got new plan
[ INFO] [1567167003.723675357, 82.961000000]: Got new plan
[ INFO] [1567167006.001088164, 84.961000000]: Got new plan
[ INFO] [1567167008.293756718, 86.961000000]: Got new plan
[ INFO] [1567167010.572193605, 88.961000000]: Got new plan
[ INFO] [1567167012.799950733, 90.961000000]: Got new plan
[ INFO] [1567167014.258118795, 92.362000000]: Goal reached
[ERROR] [1567167041.114385218, 117.157000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567167041.330383844, 117.359000000]: Got new plan
[ INFO] [1567167043.497997616, 119.360000000]: Got new plan
[ INFO] [1567167045.648563074, 121.358000000]: Got new plan
[ INFO] [1567167047.807293361, 123.358000000]: Got new plan
[ INFO] [1567167050.003715503, 125.365000000]: Got new plan
[ INFO] [1567167052.139275507, 127.358000000]: Got new plan
[ INFO] [1567167054.366691309, 129.359000000]: Got new plan
[ INFO] [1567167056.518492225, 131.362000000]: Got new plan
[ INFO] [1567167058.682002227, 133.358000000]: Got new plan
[ INFO] [1567167060.856579610, 135.358000000]: Got new plan
[ INFO] [1567167063.039602098, 137.358000000]: Got new plan
[ INFO] [1567167065.288669704, 139.358000000]: Got new plan
[ INFO] [1567167066.661372555, 140.558000000]: Goal reached
[ERROR] [1567167139.760417478, 202.590000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567167139.991828918, 202.791000000]: Got new plan
[ INFO] [1567167142.259811976, 204.791000000]: Got new plan
[ INFO] [1567167144.382301389, 206.791000000]: Got new plan
[ INFO] [1567167146.519976397, 208.791000000]: Got new plan
[ INFO] [1567167148.620204358, 210.791000000]: Got new plan
[ INFO] [1567167150.707795833, 212.791000000]: Got new plan
[ INFO] [1567167152.808216965, 214.791000000]: Got new plan
[ INFO] [1567167154.898711934, 216.791000000]: Got new plan
[ INFO] [1567167156.987856539, 218.791000000]: Got new plan
[ INFO] [1567167159.067784077, 220.791000000]: Got new plan
[ INFO] [1567167161.272089974, 222.791000000]: Got new plan
[ INFO] [1567167161.505122847, 222.992000000]: Goal reached
[ERROR] [1567167182.769451359, 241.600000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167188.736668887, 246.801000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167194.688508205, 252.002000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167200.669858754, 257.203000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167206.615297697, 262.405000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167239.073568967, 288.764000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167245.169749575, 293.965000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167251.111392531, 299.166000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167257.049409352, 304.366000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167263.076817887, 309.567000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167269.089189587, 314.768000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567167269.327935648, 314.969000000]: Got new plan
[ INFO] [1567167271.645150922, 316.969000000]: Got new plan
[ INFO] [1567167273.972601736, 318.969000000]: Got new plan
[ INFO] [1567167276.261442783, 320.969000000]: Got new plan
[ INFO] [1567167276.261522681, 320.969000000]: Goal reached
[ERROR] [1567167308.661612915, 348.125000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167314.902086888, 353.526000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567167315.143449414, 353.727000000]: Got new plan
[ INFO] [1567167317.403543081, 355.728000000]: Got new plan
[ INFO] [1567167319.574162411, 357.727000000]: Got new plan
[ INFO] [1567167321.695801825, 359.727000000]: Got new plan
[ INFO] [1567167323.893298856, 361.727000000]: Got new plan
[ INFO] [1567167326.164698777, 363.728000000]: Got new plan
[ INFO] [1567167328.497469359, 365.727000000]: Got new plan
[ INFO] [1567167330.822176567, 367.728000000]: Got new plan
[ INFO] [1567167333.106336209, 369.727000000]: Got new plan
[ INFO] [1567167335.423740468, 371.728000000]: Got new plan
[ INFO] [1567167337.710932742, 373.729000000]: Got new plan
[ INFO] [1567167340.017677114, 375.727000000]: Got new plan
[ INFO] [1567167342.272758859, 377.727000000]: Got new plan
[ INFO] [1567167344.532207313, 379.727000000]: Got new plan
[ INFO] [1567167346.781775789, 381.728000000]: Got new plan
[ INFO] [1567167349.040503228, 383.727000000]: Got new plan
[ INFO] [1567167351.280059619, 385.730000000]: Got new plan
[ INFO] [1567167353.504287915, 387.727000000]: Got new plan
[ INFO] [1567167355.742103966, 389.727000000]: Got new plan
[ INFO] [1567167357.942015201, 391.727000000]: Got new plan
[ INFO] [1567167360.162522715, 393.727000000]: Got new plan
[ INFO] [1567167362.416628829, 395.728000000]: Got new plan
[ INFO] [1567167364.683897068, 397.727000000]: Got new plan
[ INFO] [1567167366.927551860, 399.727000000]: Got new plan
[ INFO] [1567167369.225586452, 401.728000000]: Got new plan
[ INFO] [1567167371.553543479, 403.727000000]: Got new plan
[ INFO] [1567167373.909454222, 405.727000000]: Got new plan
[ INFO] [1567167376.248748926, 407.727000000]: Got new plan
[ INFO] [1567167378.601369895, 409.728000000]: Got new plan
[ INFO] [1567167381.027399855, 411.727000000]: Got new plan
[ INFO] [1567167383.511678757, 413.727000000]: Got new plan
[ERROR] [1567167389.980504949, 418.928000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167396.546149902, 424.128000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167403.362134397, 429.530000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567167409.570935540, 434.731000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567167409.811344878, 434.931000000]: Got new plan
