[ INFO] [1567676297.370904352, 19.635000000]: odom received!
[ INFO] [1567676298.951728600, 20.916000000]: Got new plan
[ INFO] [1567676301.388696001, 22.916000000]: Got new plan
[ INFO] [1567676303.834632681, 24.916000000]: Got new plan
[ INFO] [1567676306.255948302, 26.916000000]: Got new plan
[ INFO] [1567676308.689852416, 28.916000000]: Got new plan
[ INFO] [1567676311.088088040, 30.916000000]: Got new plan
[ INFO] [1567676313.555289177, 32.916000000]: Got new plan
[ INFO] [1567676315.988199222, 34.916000000]: Got new plan
[ INFO] [1567676318.370158504, 36.916000000]: Got new plan
[ INFO] [1567676320.732903933, 38.917000000]: Got new plan
[ INFO] [1567676323.118518844, 40.916000000]: Got new plan
[ INFO] [1567676325.471889230, 42.916000000]: Got new plan
[ INFO] [1567676327.916705920, 44.917000000]: Got new plan
[ INFO] [1567676330.427269904, 46.920000000]: Got new plan
[ INFO] [1567676332.897060610, 48.916000000]: Got new plan
[ INFO] [1567676335.346222241, 50.916000000]: Got new plan
[ INFO] [1567676337.745708072, 52.916000000]: Got new plan
[ INFO] [1567676340.216459378, 54.917000000]: Got new plan
[ INFO] [1567676342.667846402, 56.916000000]: Got new plan
[ INFO] [1567676345.201402904, 58.916000000]: Got new plan
[ INFO] [1567676347.711594612, 60.916000000]: Got new plan
[ INFO] [1567676350.228033241, 62.916000000]: Got new plan
[ INFO] [1567676352.811343529, 64.917000000]: Got new plan
[ INFO] [1567676355.376690986, 66.916000000]: Got new plan
[ INFO] [1567676357.918741977, 68.916000000]: Got new plan
[ERROR] [1567676367.169387743, 75.916000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567676374.157939232, 81.118000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567676381.486055957, 86.318000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567676382.744390926, 87.271000000]: Got new plan
[ INFO] [1567676385.433627891, 89.272000000]: Got new plan
[ INFO] [1567676388.017298998, 91.271000000]: Got new plan
[ INFO] [1567676390.462476607, 93.272000000]: Got new plan
[ INFO] [1567676392.855079005, 95.272000000]: Got new plan
[ INFO] [1567676395.173361177, 97.271000000]: Got new plan
[ INFO] [1567676397.433387225, 99.271000000]: Got new plan
[ INFO] [1567676399.721624677, 101.272000000]: Got new plan
[ INFO] [1567676402.068736115, 103.273000000]: Got new plan
[ INFO] [1567676404.383412677, 105.271000000]: Got new plan
[ INFO] [1567676406.706551727, 107.271000000]: Got new plan
[ INFO] [1567676409.063810543, 109.271000000]: Got new plan
[ INFO] [1567676411.460270373, 111.271000000]: Got new plan
[ INFO] [1567676413.817135343, 113.271000000]: Got new plan
[ INFO] [1567676416.288019273, 115.271000000]: Got new plan
[ INFO] [1567676418.736213440, 117.274000000]: Got new plan
[ INFO] [1567676421.192862194, 119.271000000]: Got new plan
[ INFO] [1567676423.604377559, 121.271000000]: Got new plan
[ INFO] [1567676426.080778772, 123.272000000]: Got new plan
[ INFO] [1567676428.452407210, 125.271000000]: Got new plan
[ INFO] [1567676430.849994366, 127.272000000]: Got new plan
[ INFO] [1567676433.192966255, 129.271000000]: Got new plan
[ INFO] [1567676435.532596219, 131.276000000]: Got new plan
[ INFO] [1567676438.017663519, 133.271000000]: Got new plan
[ INFO] [1567676440.586201947, 135.272000000]: Got new plan
[ INFO] [1567676443.164333400, 137.277000000]: Got new plan
[ERROR] [1567676449.877578661, 142.471000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567676456.699615261, 147.673000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567676457.977094085, 148.604000000]: Got new plan
[ INFO] [1567676460.628611591, 150.605000000]: Got new plan
[ INFO] [1567676463.297053314, 152.603000000]: Got new plan
[ INFO] [1567676465.954285019, 154.603000000]: Got new plan
[ INFO] [1567676468.622540271, 156.604000000]: Got new plan
[ INFO] [1567676471.300559637, 158.603000000]: Got new plan
[ INFO] [1567676473.969393939, 160.603000000]: Got new plan
[ INFO] [1567676476.469129226, 162.403000000]: Goal reached

