[ INFO] [1563986663.460892285, 33.706000000]: odom received!
[ INFO] [1563986745.052181825, 106.233000000]: Got new plan
[ INFO] [1563986747.276834793, 108.233000000]: Got new plan
[ INFO] [1563986749.512659754, 110.233000000]: Got new plan
[ INFO] [1563986751.739772709, 112.233000000]: Got new plan
[ INFO] [1563986753.970299253, 114.233000000]: Got new plan
[ INFO] [1563986756.195766368, 116.234000000]: Got new plan
[ INFO] [1563986758.440316848, 118.233000000]: Got new plan
[ INFO] [1563986760.664174575, 120.233000000]: Got new plan
[ INFO] [1563986762.877791008, 122.233000000]: Got new plan
[ INFO] [1563986765.049946617, 124.233000000]: Got new plan
[ INFO] [1563986767.243679465, 126.234000000]: Got new plan
[ INFO] [1563986769.465633735, 128.233000000]: Got new plan
[ INFO] [1563986771.682280518, 130.233000000]: Got new plan
[ INFO] [1563986773.914864569, 132.233000000]: Got new plan
[ INFO] [1563986776.160922578, 134.234000000]: Got new plan
[ INFO] [1563986778.396291136, 136.234000000]: Got new plan
[ INFO] [1563986780.615837328, 138.234000000]: Got new plan
[ INFO] [1563986782.864883411, 140.233000000]: Got new plan
[ INFO] [1563986784.405981262, 141.634000000]: Goal reached
[ERROR] [1563986825.089686597, 178.380000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563986830.771408641, 183.580000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563986836.495528158, 188.780000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563986836.711584071, 188.980000000]: Got new plan
[ INFO] [1563986838.874770028, 190.980000000]: Got new plan
[ INFO] [1563986841.018180515, 192.980000000]: Got new plan
[ INFO] [1563986845.232429859, 196.980000000]: Got new plan
[ INFO] [1563986847.302185593, 198.980000000]: Got new plan
[ INFO] [1563986849.364510752, 200.980000000]: Got new plan
[ INFO] [1563986851.448661714, 202.981000000]: Got new plan
[ INFO] [1563986853.550337106, 204.980000000]: Got new plan
[ INFO] [1563986855.657709101, 206.981000000]: Got new plan
[ INFO] [1563986857.723629072, 208.980000000]: Got new plan
[ INFO] [1563986859.791786692, 210.980000000]: Got new plan
[ INFO] [1563986861.843815442, 212.980000000]: Got new plan
[ INFO] [1563986863.899101128, 214.981000000]: Got new plan
[ INFO] [1563986865.984466039, 216.981000000]: Got new plan
[ INFO] [1563986868.074272569, 218.981000000]: Got new plan
[ INFO] [1563986870.189954291, 220.980000000]: Got new plan
[ INFO] [1563986872.354244814, 222.980000000]: Got new plan
[ INFO] [1563986874.519540608, 224.980000000]: Got new plan
[ INFO] [1563986876.706204935, 226.980000000]: Got new plan
[ INFO] [1563986878.886793447, 228.980000000]: Got new plan
[ INFO] [1563986881.054141183, 230.981000000]: Got new plan
[ INFO] [1563986883.170486835, 232.980000000]: Got new plan
[ INFO] [1563986885.235056189, 234.981000000]: Got new plan
[ INFO] [1563986887.280296931, 236.980000000]: Got new plan
[ INFO] [1563986889.322403133, 238.980000000]: Got new plan
[ INFO] [1563986891.359561678, 240.980000000]: Got new plan
[ INFO] [1563986893.410830412, 242.980000000]: Got new plan
[ INFO] [1563986895.483481651, 244.980000000]: Got new plan
[ INFO] [1563986897.710157385, 246.980000000]: Got new plan
[ INFO] [1563986898.158436801, 247.380000000]: Goal reached
[ERROR] [1563986928.019583481, 273.512000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563986928.248786001, 273.713000000]: Got new plan
[ INFO] [1563986930.512719044, 275.713000000]: Got new plan
[ INFO] [1563986932.761691541, 277.713000000]: Got new plan
[ INFO] [1563986935.001426216, 279.713000000]: Got new plan
[ INFO] [1563986937.214318011, 281.714000000]: Got new plan
[ INFO] [1563986939.355553601, 283.713000000]: Got new plan
[ INFO] [1563986941.462986130, 285.713000000]: Got new plan
[ INFO] [1563986943.544967743, 287.713000000]: Got new plan
[ INFO] [1563986945.654641512, 289.713000000]: Got new plan
[ INFO] [1563986947.779904302, 291.713000000]: Got new plan
[ INFO] [1563986949.941157410, 293.714000000]: Got new plan
[ INFO] [1563986952.125935525, 295.713000000]: Got new plan
[ INFO] [1563986954.343740760, 297.713000000]: Got new plan
[ INFO] [1563986956.556054463, 299.714000000]: Got new plan
[ INFO] [1563986958.782136456, 301.714000000]: Got new plan
[ INFO] [1563986960.981915119, 303.713000000]: Got new plan
[ INFO] [1563986963.151990614, 305.713000000]: Got new plan
[ INFO] [1563986965.311261033, 307.713000000]: Got new plan
[ INFO] [1563986967.464538832, 309.714000000]: Got new plan
[ INFO] [1563986969.594778531, 311.713000000]: Got new plan
[ INFO] [1563986971.731440698, 313.714000000]: Got new plan
[ INFO] [1563986973.831090744, 315.713000000]: Got new plan
[ INFO] [1563986975.927503293, 317.713000000]: Got new plan
[ INFO] [1563986978.012286631, 319.713000000]: Got new plan
[ INFO] [1563986980.124443286, 321.713000000]: Got new plan
[ INFO] [1563986982.249435706, 323.713000000]: Got new plan
[ INFO] [1563986984.409178192, 325.714000000]: Got new plan
[ INFO] [1563986986.628311376, 327.713000000]: Got new plan
[ INFO] [1563986988.853218051, 329.713000000]: Got new plan
[ INFO] [1563986989.296112944, 330.113000000]: Goal reached
[ERROR] [1563987019.878737607, 357.045000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563987020.107280982, 357.246000000]: Got new plan
[ INFO] [1563987022.324464879, 359.246000000]: Got new plan
[ INFO] [1563987024.505888625, 361.246000000]: Got new plan
[ INFO] [1563987026.659521375, 363.247000000]: Got new plan
[ INFO] [1563987028.782770047, 365.246000000]: Got new plan
[ INFO] [1563987030.926021285, 367.246000000]: Got new plan
[ INFO] [1563987033.083253618, 369.247000000]: Got new plan
[ INFO] [1563987035.239539327, 371.246000000]: Got new plan
[ INFO] [1563987037.386106173, 373.246000000]: Got new plan
[ INFO] [1563987039.526267106, 375.247000000]: Got new plan
[ INFO] [1563987041.676577783, 377.249000000]: Got new plan
[ INFO] [1563987043.777720445, 379.246000000]: Got new plan
[ INFO] [1563987045.848936072, 381.246000000]: Got new plan
[ INFO] [1563987047.943776052, 383.246000000]: Got new plan
[ INFO] [1563987048.368815708, 383.647000000]: Goal reached
[ERROR] [1563987098.631207282, 430.644000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563987104.123585087, 435.846000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563987109.595054208, 441.047000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563987115.092632027, 446.248000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563987120.628863928, 451.449000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563987126.170181385, 456.650000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563987131.674358256, 461.850000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563987131.897267311, 462.051000000]: Got new plan
[ INFO] [1563987134.040020069, 464.052000000]: Got new plan
[ INFO] [1563987136.218706057, 466.051000000]: Got new plan
[ INFO] [1563987138.464542093, 468.051000000]: Got new plan
[ INFO] [1563987140.702190194, 470.051000000]: Got new plan
[ INFO] [1563987142.894548854, 472.051000000]: Got new plan
[ INFO] [1563987145.026584884, 474.051000000]: Got new plan
[ INFO] [1563987147.148276335, 476.051000000]: Got new plan
[ INFO] [1563987149.276553819, 478.051000000]: Got new plan
[ INFO] [1563987151.414800406, 480.051000000]: Got new plan
[ INFO] [1563987153.527372132, 482.051000000]: Got new plan
[ INFO] [1563987155.615643163, 484.051000000]: Got new plan
[ INFO] [1563987157.704530294, 486.052000000]: Got new plan
[ INFO] [1563987158.960324325, 487.252000000]: Goal reached
[ERROR] [1563987188.015131406, 514.585000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563987193.472395725, 519.786000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
