[ INFO] [1563976010.117951297, 63.525000000]: odom received!
[ERROR] [1563976027.485838901, 78.980000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563976027.711314124, 79.182000000]: Got new plan
[ INFO] [1563976029.930314518, 81.182000000]: Got new plan
[ INFO] [1563976032.136994315, 83.182000000]: Got new plan
[ INFO] [1563976034.352731510, 85.182000000]: Got new plan
[ INFO] [1563976036.562567900, 87.182000000]: Got new plan
[ INFO] [1563976038.729475754, 89.182000000]: Got new plan
[ INFO] [1563976040.905487167, 91.182000000]: Got new plan
[ INFO] [1563976043.100673283, 93.182000000]: Got new plan
[ INFO] [1563976045.267627306, 95.182000000]: Got new plan
[ INFO] [1563976047.399953850, 97.182000000]: Got new plan
[ INFO] [1563976049.458194034, 99.183000000]: Got new plan
[ INFO] [1563976051.504335494, 101.182000000]: Got new plan
[ INFO] [1563976053.549838696, 103.182000000]: Got new plan
[ INFO] [1563976055.637123507, 105.182000000]: Got new plan
[ INFO] [1563976056.280418676, 105.782000000]: Goal reached
[ INFO] [1563976071.661837938, 119.589000000]: Got new plan
[ INFO] [1563976073.858693219, 121.590000000]: Got new plan
[ INFO] [1563976076.103711240, 123.589000000]: Got new plan
[ INFO] [1563976078.334524200, 125.592000000]: Got new plan
[ INFO] [1563976080.500258178, 127.589000000]: Got new plan
[ INFO] [1563976082.680666638, 129.589000000]: Got new plan
[ INFO] [1563976084.235857759, 130.990000000]: Goal reached
[ERROR] [1563976113.604505902, 156.822000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976119.443448653, 162.023000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976125.248654214, 167.224000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563976125.483659347, 167.426000000]: Got new plan
[ INFO] [1563976127.709184351, 169.425000000]: Got new plan
[ INFO] [1563976129.909430155, 171.425000000]: Got new plan
[ INFO] [1563976132.098747096, 173.428000000]: Got new plan
[ INFO] [1563976134.327009662, 175.427000000]: Got new plan
[ INFO] [1563976134.327306593, 175.427000000]: Goal reached
[ERROR] [1563976158.465862583, 196.737000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563976158.690510360, 196.938000000]: Got new plan
[ INFO] [1563976160.916765449, 198.938000000]: Got new plan
[ INFO] [1563976163.196070055, 200.938000000]: Got new plan
[ INFO] [1563976165.403530444, 202.938000000]: Got new plan
[ INFO] [1563976167.538758727, 204.938000000]: Got new plan
[ INFO] [1563976169.666745624, 206.939000000]: Got new plan
[ INFO] [1563976171.794452140, 208.939000000]: Got new plan
[ INFO] [1563976173.878446121, 210.939000000]: Got new plan
[ INFO] [1563976175.992456900, 212.938000000]: Got new plan
[ INFO] [1563976178.114782940, 214.938000000]: Got new plan
[ INFO] [1563976180.265609219, 216.938000000]: Got new plan
[ INFO] [1563976182.414562277, 218.938000000]: Got new plan
[ INFO] [1563976184.596785421, 220.938000000]: Got new plan
[ INFO] [1563976186.767550674, 222.938000000]: Got new plan
[ INFO] [1563976188.963680401, 224.938000000]: Got new plan
[ INFO] [1563976190.535248509, 226.338000000]: Goal reached
[ERROR] [1563976222.559304703, 254.345000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976228.453182987, 259.545000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976234.369611777, 264.745000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976240.269118367, 269.948000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976246.149137892, 275.149000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976252.076325510, 280.350000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563976258.003621503, 285.551000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563976258.233204323, 285.751000000]: Got new plan
[ INFO] [1563976260.491353639, 287.751000000]: Got new plan
[ INFO] [1563976262.762598809, 289.752000000]: Got new plan
[ INFO] [1563976265.004824706, 291.751000000]: Got new plan
[ INFO] [1563976267.234862238, 293.751000000]: Got new plan
[ INFO] [1563976269.464274734, 295.751000000]: Got new plan
