[ INFO] [1567675956.474350114, 26.042000000]: Got new plan
[ INFO] [1567675959.064219426, 28.044000000]: Got new plan
[ INFO] [1567675961.841209211, 30.042000000]: Got new plan
[ INFO] [1567675964.727655099, 32.043000000]: Got new plan
[ INFO] [1567675967.385859171, 34.042000000]: Got new plan
[ INFO] [1567675969.957580780, 36.042000000]: Got new plan
[ INFO] [1567675972.553589307, 38.042000000]: Got new plan
[ INFO] [1567675975.178807559, 40.043000000]: Got new plan
[ INFO] [1567675977.785928997, 42.042000000]: Got new plan
[ INFO] [1567675980.400902615, 44.043000000]: Got new plan
[ INFO] [1567675982.943072773, 46.042000000]: Got new plan
[ INFO] [1567675985.453069736, 48.042000000]: Got new plan
[ INFO] [1567675987.992534309, 50.042000000]: Got new plan
[ INFO] [1567675990.516502243, 52.042000000]: Got new plan
[ INFO] [1567675993.042597406, 54.043000000]: Got new plan
[ INFO] [1567675995.538002050, 56.042000000]: Got new plan
[ INFO] [1567675998.053505073, 58.044000000]: Got new plan
[ INFO] [1567676000.534396830, 60.044000000]: Got new plan
[ INFO] [1567676002.985012554, 62.042000000]: Got new plan
[ INFO] [1567676005.453408323, 64.048000000]: Got new plan
[ INFO] [1567676007.883099950, 66.042000000]: Got new plan
[ INFO] [1567676007.883283159, 66.042000000]: Goal reached
[ INFO] [1567676039.517477229, 90.231000000]: Got new plan
[ INFO] [1567676041.981569452, 92.229000000]: Got new plan
[ INFO] [1567676044.555284162, 94.229000000]: Got new plan
[ INFO] [1567676047.152164237, 96.229000000]: Got new plan
[ INFO] [1567676049.665879729, 98.229000000]: Got new plan
[ INFO] [1567676052.116140165, 100.229000000]: Got new plan
[ INFO] [1567676054.589222069, 102.229000000]: Got new plan
[ INFO] [1567676056.976469664, 104.229000000]: Got new plan
[ INFO] [1567676059.392431378, 106.229000000]: Got new plan
[ INFO] [1567676061.764138230, 108.229000000]: Got new plan
[ INFO] [1567676064.124954544, 110.229000000]: Got new plan
[ INFO] [1567676066.454758521, 112.230000000]: Got new plan
[ INFO] [1567676068.721197543, 114.229000000]: Got new plan
[ INFO] [1567676071.023676731, 116.229000000]: Got new plan
[ INFO] [1567676073.305646083, 118.229000000]: Got new plan
[ INFO] [1567676075.683964689, 120.229000000]: Got new plan
[ INFO] [1567676077.945601833, 122.229000000]: Got new plan
[ INFO] [1567676080.181853071, 124.229000000]: Got new plan
[ WARN] [1567676080.182603473, 124.229000000]: Received an empty transformed plan.
[ INFO] [1567676080.432727777, 124.430000000]: Got new plan
[ WARN] [1567676080.433271926, 124.430000000]: Received an empty transformed plan.
[ INFO] [1567676080.676014491, 124.629000000]: Got new plan
[ WARN] [1567676080.676282269, 124.629000000]: Received an empty transformed plan.
[ INFO] [1567676080.912501463, 124.829000000]: Got new plan
[ WARN] [1567676080.912763894, 124.829000000]: Received an empty transformed plan.
[ INFO] [1567676081.147593914, 125.029000000]: Got new plan
[ WARN] [1567676081.148313869, 125.030000000]: Received an empty transformed plan.
[ INFO] [1567676081.374906440, 125.229000000]: Got new plan
[ WARN] [1567676081.375187051, 125.229000000]: Received an empty transformed plan.
[ INFO] [1567676081.608217433, 125.429000000]: Got new plan
[ WARN] [1567676081.608484757, 125.429000000]: Received an empty transformed plan.
[ INFO] [1567676081.836400661, 125.629000000]: Got new plan
[ WARN] [1567676081.836911235, 125.630000000]: Received an empty transformed plan.
[ INFO] [1567676082.070431828, 125.831000000]: Got new plan
[ WARN] [1567676082.070980621, 125.831000000]: Received an empty transformed plan.
[ INFO] [1567676082.305845356, 126.029000000]: Got new plan
[ WARN] [1567676082.306072602, 126.029000000]: Received an empty transformed plan.
[ INFO] [1567676082.536036050, 126.230000000]: Got new plan
[ WARN] [1567676082.536286395, 126.230000000]: Received an empty transformed plan.
[ INFO] [1567676082.779890757, 126.429000000]: Got new plan
[ WARN] [1567676082.780743107, 126.429000000]: Received an empty transformed plan.
[ INFO] [1567676083.017720214, 126.629000000]: Got new plan
[ WARN] [1567676083.018186308, 126.629000000]: Received an empty transformed plan.
[ INFO] [1567676083.250452233, 126.829000000]: Got new plan
[ WARN] [1567676083.251111617, 126.829000000]: Received an empty transformed plan.
[ INFO] [1567676083.487933989, 127.029000000]: Got new plan
[ WARN] [1567676083.488223885, 127.029000000]: Received an empty transformed plan.
[ INFO] [1567676083.748933091, 127.230000000]: Got new plan
[ WARN] [1567676083.749579528, 127.231000000]: Received an empty transformed plan.
[ERROR] [1567676084.004013508, 127.429000000]: Aborting because a valid control could not be found. Even after executing all recovery behaviors
[ INFO] [1567676084.236170093, 127.630000000]: Got new plan
[ INFO] [1567676086.742822648, 129.631000000]: Got new plan
[ INFO] [1567676089.120768386, 131.632000000]: Got new plan
[ INFO] [1567676091.466269178, 133.630000000]: Got new plan
[ INFO] [1567676093.759011843, 135.630000000]: Got new plan
[ INFO] [1567676095.858351673, 137.439000000]: Got new plan
[ INFO] [1567676098.357807855, 139.630000000]: Got new plan
[ INFO] [1567676100.291033989, 141.230000000]: Goal reached

