[ INFO] [1563991947.196203072, 34.649000000]: odom received!
[ INFO] [1563991986.950988135, 69.394000000]: Got new plan
[ INFO] [1563991989.196163396, 71.393000000]: Got new plan
[ INFO] [1563991991.462854823, 73.393000000]: Got new plan
[ INFO] [1563991993.722089440, 75.393000000]: Got new plan
[ INFO] [1563991995.986406906, 77.393000000]: Got new plan
[ INFO] [1563991998.247509620, 79.393000000]: Got new plan
[ INFO] [1563992000.515535373, 81.393000000]: Got new plan
[ INFO] [1563992002.736834069, 83.393000000]: Got new plan
[ INFO] [1563992004.964128109, 85.393000000]: Got new plan
[ INFO] [1563992007.152848844, 87.394000000]: Got new plan
[ INFO] [1563992009.364373632, 89.393000000]: Got new plan
[ INFO] [1563992011.593738821, 91.393000000]: Got new plan
[ INFO] [1563992013.856675305, 93.394000000]: Got new plan
[ INFO] [1563992016.101937231, 95.393000000]: Got new plan
[ INFO] [1563992018.377184110, 97.393000000]: Got new plan
[ INFO] [1563992020.590082559, 99.393000000]: Got new plan
[ INFO] [1563992022.819635463, 101.395000000]: Got new plan
[ INFO] [1563992025.014707352, 103.394000000]: Got new plan
[ INFO] [1563992025.661756558, 103.993000000]: Goal reached
[ INFO] [1563992062.027689184, 136.680000000]: Got new plan
[ INFO] [1563992064.211022721, 138.681000000]: Got new plan
[ INFO] [1563992066.341407262, 140.680000000]: Got new plan
[ INFO] [1563992068.439018449, 142.681000000]: Got new plan
[ INFO] [1563992070.512285645, 144.680000000]: Got new plan
[ INFO] [1563992072.594782741, 146.680000000]: Got new plan
[ INFO] [1563992074.674065041, 148.680000000]: Got new plan
[ INFO] [1563992076.772494380, 150.680000000]: Got new plan
[ INFO] [1563992078.898146704, 152.680000000]: Got new plan
[ INFO] [1563992081.020478993, 154.680000000]: Got new plan
[ INFO] [1563992083.118053377, 156.681000000]: Got new plan
[ INFO] [1563992085.195133323, 158.680000000]: Got new plan
[ INFO] [1563992087.298084067, 160.680000000]: Got new plan
[ INFO] [1563992089.402642879, 162.680000000]: Got new plan
[ INFO] [1563992091.514600210, 164.680000000]: Got new plan
[ INFO] [1563992093.653951917, 166.680000000]: Got new plan
[ INFO] [1563992095.833965845, 168.681000000]: Got new plan
[ INFO] [1563992098.010250245, 170.681000000]: Got new plan
[ INFO] [1563992100.218560426, 172.680000000]: Got new plan
[ INFO] [1563992102.410404000, 174.680000000]: Got new plan
[ INFO] [1563992104.549857330, 176.680000000]: Got new plan
[ INFO] [1563992106.623278705, 178.680000000]: Got new plan
[ INFO] [1563992108.677994239, 180.680000000]: Got new plan
[ INFO] [1563992110.724797783, 182.680000000]: Got new plan
[ INFO] [1563992112.918047729, 184.680000000]: Got new plan
[ INFO] [1563992113.832493218, 185.480000000]: Goal reached
[ERROR] [1563992159.005508062, 224.972000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563992164.877535540, 230.173000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563992170.703981460, 235.373000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563992176.661623039, 240.574000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563992182.452309694, 245.775000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563992188.243212522, 250.975000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563992188.477206950, 251.175000000]: Got new plan
[ INFO] [1563992190.716015953, 253.175000000]: Got new plan
