[ INFO] [1567094302.144792351, 43.456000000]: odom received!
[ERROR] [1567094341.282162760, 79.586000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094346.898651568, 84.786000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094352.537379861, 89.987000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094358.156346827, 95.189000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094363.769376419, 100.391000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094369.446213008, 105.593000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567094369.662150797, 105.795000000]: Got new plan
[ INFO] [1567094371.806919334, 107.794000000]: Got new plan
[ INFO] [1567094373.978089481, 109.795000000]: Got new plan
[ INFO] [1567094376.121310437, 111.794000000]: Got new plan
[ INFO] [1567094378.264133344, 113.794000000]: Got new plan
[ INFO] [1567094380.421059000, 115.794000000]: Got new plan
[ INFO] [1567094382.556645698, 117.794000000]: Got new plan
[ INFO] [1567094384.654724681, 119.794000000]: Got new plan
[ INFO] [1567094386.740499738, 121.795000000]: Got new plan
[ INFO] [1567094388.803370166, 123.794000000]: Got new plan
[ INFO] [1567094390.873602683, 125.794000000]: Got new plan
[ INFO] [1567094392.946681048, 127.794000000]: Got new plan
[ INFO] [1567094395.021119522, 129.794000000]: Got new plan
[ INFO] [1567094397.077504268, 131.794000000]: Got new plan
[ INFO] [1567094399.134161841, 133.794000000]: Got new plan
[ INFO] [1567094401.195013784, 135.794000000]: Got new plan
[ INFO] [1567094402.444941643, 136.994000000]: Goal reached
[ERROR] [1567094436.095018220, 168.599000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094441.578576914, 173.801000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094447.054632374, 179.001000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094452.507433603, 184.202000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094458.180926756, 189.604000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094463.692060537, 194.806000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094469.148518561, 200.007000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094474.619261630, 205.208000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094514.132428421, 242.101000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094519.848870673, 247.302000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094525.477266231, 252.503000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094531.125271877, 257.704000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094536.732808370, 262.906000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094542.230714446, 268.108000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567094547.794219225, 273.309000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
