[ INFO] [1564004117.214801819, 88.741000000]: odom received!
[ERROR] [1564004142.455435495, 111.965000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564004148.063724464, 117.166000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564004148.276335264, 117.368000000]: Got new plan
[ INFO] [1564004150.407689202, 119.367000000]: Got new plan
[ INFO] [1564004152.545251030, 121.367000000]: Got new plan
[ INFO] [1564004154.709464494, 123.368000000]: Got new plan
[ INFO] [1564004156.847948633, 125.367000000]: Got new plan
[ INFO] [1564004158.991091372, 127.370000000]: Got new plan
[ INFO] [1564004161.091098287, 129.367000000]: Got new plan
[ INFO] [1564004163.179947316, 131.367000000]: Got new plan
[ INFO] [1564004165.261203826, 133.367000000]: Got new plan
[ INFO] [1564004166.290495332, 134.367000000]: Goal reached
[ERROR] [1564004199.690807073, 166.273000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564004205.080506325, 171.476000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564004210.478237755, 176.677000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564004215.879321861, 181.879000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564004216.087899328, 182.081000000]: Got new plan
[ INFO] [1564004218.151342463, 184.080000000]: Got new plan
[ INFO] [1564004220.227328441, 186.080000000]: Got new plan
[ INFO] [1564004222.317642290, 188.080000000]: Got new plan
[ INFO] [1564004224.413177786, 190.081000000]: Got new plan
[ INFO] [1564004226.510977678, 192.080000000]: Got new plan
[ INFO] [1564004228.196349922, 193.680000000]: Goal reached
[ERROR] [1564004249.603040507, 213.702000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564004255.130322779, 218.903000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564004261.104710816, 224.103000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
