[ INFO] [1567675143.153043550, 26.122000000]: odom received!
[ INFO] [1567675148.328544153, 30.628000000]: Got new plan
[ INFO] [1567675150.763705785, 32.628000000]: Got new plan
[ INFO] [1567675153.603573243, 34.628000000]: Got new plan
[ INFO] [1567675156.151382886, 36.629000000]: Got new plan
[ INFO] [1567675158.679520323, 38.628000000]: Got new plan
[ INFO] [1567675161.158181395, 40.631000000]: Got new plan
[ INFO] [1567675163.509188515, 42.629000000]: Got new plan
[ INFO] [1567675165.912902601, 44.628000000]: Got new plan
[ INFO] [1567675168.321787391, 46.629000000]: Got new plan
[ INFO] [1567675170.534048014, 48.628000000]: Got new plan
[ INFO] [1567675172.727774092, 50.628000000]: Got new plan
[ INFO] [1567675174.897380188, 52.628000000]: Got new plan
[ INFO] [1567675177.066862972, 54.629000000]: Got new plan
[ INFO] [1567675179.250374634, 56.628000000]: Got new plan
[ INFO] [1567675181.414908757, 58.628000000]: Got new plan
[ INFO] [1567675183.548902965, 60.628000000]: Got new plan
[ INFO] [1567675185.681048718, 62.628000000]: Got new plan
[ INFO] [1567675187.856483116, 64.628000000]: Got new plan
[ INFO] [1567675189.995696497, 66.628000000]: Got new plan
[ INFO] [1567675192.197634864, 68.628000000]: Got new plan
[ INFO] [1567675194.453019539, 70.629000000]: Got new plan
[ INFO] [1567675196.757064150, 72.628000000]: Got new plan
[ INFO] [1567675199.034914636, 74.630000000]: Got new plan
[ INFO] [1567675201.291516887, 76.630000000]: Got new plan
[ INFO] [1567675203.047087482, 78.228000000]: Goal reached
[ INFO] [1567675231.085447407, 102.433000000]: Got new plan
[ INFO] [1567675233.410953684, 104.433000000]: Got new plan
[ INFO] [1567675235.728289817, 106.434000000]: Got new plan
[ INFO] [1567675237.999924137, 108.433000000]: Got new plan
[ INFO] [1567675284.559439490, 149.633000000]: Goal reached

