[ INFO] [1567097620.742389203, 23.916000000]: odom received!
[ERROR] [1567097653.093051286, 53.596000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097658.670101404, 58.798000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097664.232137604, 64.000000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097669.786266154, 69.201000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097675.336422689, 74.402000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097680.923336165, 79.603000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097686.492439824, 84.803000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097692.271187501, 90.204000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097735.631124391, 129.797000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097741.463628792, 134.998000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097747.294831015, 140.199000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097753.048702182, 145.401000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097758.856635806, 150.602000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097764.547394134, 155.804000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567097764.763273682, 156.006000000]: Got new plan
[ INFO] [1567097766.958392944, 158.007000000]: Got new plan
[ INFO] [1567097769.259033974, 160.006000000]: Got new plan
[ INFO] [1567097771.445301807, 162.006000000]: Got new plan
[ INFO] [1567097773.580188693, 164.006000000]: Got new plan
[ INFO] [1567097775.705848974, 166.006000000]: Got new plan
[ INFO] [1567097777.812161059, 168.006000000]: Got new plan
[ INFO] [1567097779.906102615, 170.007000000]: Got new plan
[ INFO] [1567097782.001644907, 172.007000000]: Got new plan
[ INFO] [1567097784.122647654, 174.006000000]: Got new plan
[ INFO] [1567097786.252960538, 176.006000000]: Got new plan
[ INFO] [1567097788.341354713, 178.006000000]: Got new plan
[ INFO] [1567097790.427711215, 180.007000000]: Got new plan
[ INFO] [1567097792.530004908, 182.006000000]: Got new plan
[ INFO] [1567097794.642159712, 184.006000000]: Got new plan
[ INFO] [1567097796.746669292, 186.008000000]: Got new plan
[ INFO] [1567097798.846826805, 188.006000000]: Got new plan
[ INFO] [1567097799.262335709, 188.406000000]: Goal reached
[ERROR] [1567097843.876801254, 228.685000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097849.549196946, 233.886000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097855.105676692, 239.087000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097860.645757638, 244.290000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097866.254060830, 249.492000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567097866.465866019, 249.693000000]: Got new plan
[ INFO] [1567097868.569509418, 251.693000000]: Got new plan
[ INFO] [1567097870.657804833, 253.693000000]: Got new plan
[ INFO] [1567097872.732915851, 255.693000000]: Got new plan
[ INFO] [1567097874.854155789, 257.693000000]: Got new plan
[ INFO] [1567097876.932641112, 259.693000000]: Got new plan
[ INFO] [1567097879.033135773, 261.693000000]: Got new plan
[ INFO] [1567097881.171264878, 263.693000000]: Got new plan
[ INFO] [1567097881.171349491, 263.693000000]: Goal reached
[ERROR] [1567097921.985329945, 301.086000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097927.590617266, 306.288000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097933.224879724, 311.489000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097938.804669255, 316.690000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097944.423834424, 321.891000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567097950.262187379, 327.092000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1567097950.511411066, 327.292000000]: Got new plan
[ INFO] [1567097952.730914828, 329.292000000]: Got new plan
[ INFO] [1567097954.861610126, 331.292000000]: Got new plan
[ INFO] [1567097956.947319848, 333.292000000]: Got new plan
[ INFO] [1567097959.020952823, 335.292000000]: Got new plan
[ INFO] [1567097961.095619774, 337.292000000]: Got new plan
[ INFO] [1567097963.153320058, 339.292000000]: Got new plan
[ INFO] [1567097965.235688639, 341.294000000]: Got new plan
[ INFO] [1567097967.315617840, 343.292000000]: Got new plan
[ INFO] [1567097969.375570773, 345.292000000]: Got new plan
[ INFO] [1567097971.448385032, 347.292000000]: Got new plan
[ INFO] [1567097975.625539137, 351.292000000]: Got new plan
[ INFO] [1567097977.725095885, 353.292000000]: Got new plan
[ INFO] [1567097979.877504983, 355.292000000]: Got new plan
[ INFO] [1567097980.544126950, 355.892000000]: Goal reached
[ERROR] [1567098019.849289344, 391.499000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567098025.499222746, 396.702000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567098031.202195059, 401.902000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1567098036.940739403, 407.104000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
