[ INFO] [1564000631.824547920, 38.842000000]: odom received!
[ INFO] [1564000672.902818615, 74.514000000]: Got new plan
[ INFO] [1564000675.162219091, 76.514000000]: Got new plan
[ INFO] [1564000677.371337939, 78.514000000]: Got new plan
[ INFO] [1564000679.564624904, 80.514000000]: Got new plan
[ INFO] [1564000681.769233376, 82.514000000]: Got new plan
[ INFO] [1564000683.959665377, 84.514000000]: Got new plan
[ INFO] [1564000686.174011529, 86.514000000]: Got new plan
[ INFO] [1564000688.374935412, 88.518000000]: Got new plan
[ INFO] [1564000690.554797261, 90.514000000]: Got new plan
[ INFO] [1564000692.762352085, 92.514000000]: Got new plan
[ INFO] [1564000694.958279787, 94.514000000]: Got new plan
[ INFO] [1564000697.164156005, 96.514000000]: Got new plan
[ INFO] [1564000699.374100838, 98.514000000]: Got new plan
[ INFO] [1564000701.556473357, 100.514000000]: Got new plan
[ INFO] [1564000703.744975516, 102.515000000]: Got new plan
[ INFO] [1564000705.924240248, 104.514000000]: Got new plan
[ INFO] [1564000708.105273435, 106.514000000]: Got new plan
[ INFO] [1564000710.286732965, 108.514000000]: Got new plan
[ INFO] [1564000712.461104529, 110.516000000]: Got new plan
[ INFO] [1564000714.662902886, 112.514000000]: Got new plan
[ INFO] [1564000716.443794587, 114.114000000]: Goal reached
[ERROR] [1564000764.222745447, 156.578000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564000764.442337698, 156.779000000]: Got new plan
[ INFO] [1564000766.666924547, 158.779000000]: Got new plan
[ INFO] [1564000768.865647518, 160.779000000]: Got new plan
[ INFO] [1564000771.083419962, 162.779000000]: Got new plan
[ INFO] [1564000773.274273875, 164.779000000]: Got new plan
[ INFO] [1564000775.449086204, 166.780000000]: Got new plan
[ INFO] [1564000777.626549975, 168.779000000]: Got new plan
[ INFO] [1564000779.815992869, 170.780000000]: Got new plan
[ INFO] [1564000781.955267703, 172.779000000]: Got new plan
[ INFO] [1564000784.092901756, 174.779000000]: Got new plan
[ INFO] [1564000786.273778215, 176.779000000]: Got new plan
[ INFO] [1564000788.482805457, 178.779000000]: Got new plan
[ INFO] [1564000790.689667196, 180.780000000]: Got new plan
[ INFO] [1564000792.900618307, 182.779000000]: Got new plan
[ INFO] [1564000794.507823598, 184.179000000]: Goal reached
[ERROR] [1564000854.833029580, 236.443000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000861.046365784, 241.644000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000867.030948065, 246.846000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000872.821835793, 252.048000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564000873.045593035, 252.248000000]: Got new plan
[ INFO] [1564000875.248195119, 254.248000000]: Got new plan
[ INFO] [1564000877.408352992, 256.248000000]: Got new plan
[ INFO] [1564000879.503943604, 258.249000000]: Got new plan
[ INFO] [1564000881.585433189, 260.248000000]: Got new plan
[ INFO] [1564000883.664214791, 262.248000000]: Got new plan
[ INFO] [1564000885.745842711, 264.248000000]: Got new plan
[ INFO] [1564000887.854374930, 266.248000000]: Got new plan
[ INFO] [1564000889.991249425, 268.250000000]: Got new plan
[ INFO] [1564000892.149496818, 270.248000000]: Got new plan
[ INFO] [1564000894.270962443, 272.248000000]: Got new plan
[ INFO] [1564000896.383966900, 274.252000000]: Got new plan
[ INFO] [1564000898.498891321, 276.248000000]: Got new plan
[ INFO] [1564000900.612814899, 278.249000000]: Got new plan
[ INFO] [1564000902.739097166, 280.250000000]: Got new plan
[ INFO] [1564000904.848218448, 282.249000000]: Got new plan
[ INFO] [1564000906.960797397, 284.248000000]: Got new plan
[ INFO] [1564000909.058090591, 286.250000000]: Got new plan
[ INFO] [1564000911.155871665, 288.248000000]: Got new plan
[ INFO] [1564000913.241009434, 290.248000000]: Got new plan
[ INFO] [1564000915.348275780, 292.248000000]: Got new plan
[ INFO] [1564000917.467074557, 294.251000000]: Got new plan
[ INFO] [1564000919.616710639, 296.248000000]: Got new plan
[ INFO] [1564000921.776550690, 298.250000000]: Got new plan
[ INFO] [1564000923.961855027, 300.248000000]: Got new plan
[ INFO] [1564000926.133842996, 302.248000000]: Got new plan
[ INFO] [1564000928.354844877, 304.248000000]: Got new plan
[ INFO] [1564000930.567547957, 306.248000000]: Got new plan
[ INFO] [1564000932.732810475, 308.248000000]: Got new plan
[ INFO] [1564000934.871461730, 310.248000000]: Got new plan
[ INFO] [1564000936.965994594, 312.250000000]: Got new plan
[ERROR] [1564000942.435250225, 317.448000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000947.904328247, 322.650000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000953.383579125, 327.851000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000987.821393160, 360.305000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000993.503513225, 365.705000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564000998.939330811, 370.905000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001004.374825903, 376.106000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001009.819833968, 381.307000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001015.276936383, 386.508000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001020.696259902, 391.709000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001026.105040759, 396.910000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001083.450628277, 450.943000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001088.891449171, 456.144000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001094.540212426, 461.547000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001100.008183009, 466.748000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001105.454560443, 471.949000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564001105.664388743, 472.151000000]: Got new plan
[ INFO] [1564001107.756783950, 474.151000000]: Got new plan
[ INFO] [1564001109.915585596, 476.151000000]: Got new plan
[ INFO] [1564001112.130001572, 478.152000000]: Got new plan
[ INFO] [1564001122.840888862, 488.151000000]: Got new plan
[ INFO] [1564001124.955736605, 490.151000000]: Got new plan
[ INFO] [1564001127.042396007, 492.153000000]: Got new plan
[ INFO] [1564001129.132411880, 494.152000000]: Got new plan
[ INFO] [1564001131.201216075, 496.151000000]: Got new plan
[ INFO] [1564001133.272721959, 498.152000000]: Got new plan
[ INFO] [1564001135.363267164, 500.152000000]: Got new plan
[ INFO] [1564001137.476702872, 502.151000000]: Got new plan
[ INFO] [1564001139.585641230, 504.151000000]: Got new plan
[ INFO] [1564001141.706900022, 506.151000000]: Got new plan
[ INFO] [1564001143.826960836, 508.151000000]: Got new plan
[ INFO] [1564001145.948671149, 510.151000000]: Got new plan
[ INFO] [1564001148.098824192, 512.151000000]: Got new plan
[ INFO] [1564001150.255859846, 514.151000000]: Got new plan
[ INFO] [1564001150.937716207, 514.751000000]: Goal reached
[ INFO] [1564001195.473074351, 553.831000000]: Got new plan
[ INFO] [1564001197.607176668, 555.831000000]: Got new plan
[ INFO] [1564001199.718894083, 557.831000000]: Got new plan
[ INFO] [1564001201.846422223, 559.831000000]: Got new plan
[ INFO] [1564001203.973241204, 561.831000000]: Got new plan
[ INFO] [1564001206.121211035, 563.831000000]: Got new plan
[ INFO] [1564001208.289581227, 565.831000000]: Got new plan
[ INFO] [1564001210.478724132, 567.831000000]: Got new plan
[ INFO] [1564001212.690128984, 569.831000000]: Got new plan
[ INFO] [1564001214.865996260, 571.831000000]: Got new plan
[ INFO] [1564001217.042317891, 573.831000000]: Got new plan
[ INFO] [1564001219.183390697, 575.831000000]: Got new plan
[ INFO] [1564001221.292545665, 577.831000000]: Got new plan
[ INFO] [1564001223.382148961, 579.831000000]: Got new plan
[ INFO] [1564001225.488099742, 581.831000000]: Got new plan
[ INFO] [1564001227.607403959, 583.831000000]: Got new plan
[ INFO] [1564001229.719488392, 585.831000000]: Got new plan
[ INFO] [1564001231.867857051, 587.831000000]: Got new plan
[ INFO] [1564001233.599600881, 589.431000000]: Goal reached
[ERROR] [1564001273.772456529, 625.717000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001279.668814041, 631.118000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001285.415746842, 636.318000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564001285.631912057, 636.519000000]: Got new plan
[ INFO] [1564001287.852148278, 638.520000000]: Got new plan
[ INFO] [1564001290.045797556, 640.519000000]: Got new plan
[ INFO] [1564001292.230977582, 642.519000000]: Got new plan
[ INFO] [1564001294.450664391, 644.519000000]: Got new plan
[ INFO] [1564001296.659785519, 646.519000000]: Got new plan
[ INFO] [1564001298.897171320, 648.519000000]: Got new plan
[ INFO] [1564001301.092177476, 650.519000000]: Got new plan
[ INFO] [1564001303.254196238, 652.519000000]: Got new plan
[ INFO] [1564001305.361824272, 654.519000000]: Got new plan
[ INFO] [1564001307.468744413, 656.519000000]: Got new plan
[ INFO] [1564001309.572295056, 658.519000000]: Got new plan
[ INFO] [1564001311.689201988, 660.519000000]: Got new plan
[ INFO] [1564001313.813902427, 662.519000000]: Got new plan
[ INFO] [1564001315.908819026, 664.519000000]: Got new plan
[ INFO] [1564001316.117770457, 664.719000000]: Goal reached
[ERROR] [1564001367.840731908, 713.626000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001373.299309010, 718.827000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001378.725413172, 724.028000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564001378.934191303, 724.228000000]: Got new plan
[ INFO] [1564001381.046066351, 726.228000000]: Got new plan
[ INFO] [1564001383.130729631, 728.228000000]: Got new plan
[ INFO] [1564001385.234251762, 730.228000000]: Got new plan
[ INFO] [1564001387.331435327, 732.228000000]: Got new plan
[ INFO] [1564001389.452911542, 734.228000000]: Got new plan
[ INFO] [1564001391.556840088, 736.228000000]: Got new plan
[ INFO] [1564001393.667017545, 738.228000000]: Got new plan
[ INFO] [1564001395.804536116, 740.228000000]: Got new plan
[ INFO] [1564001397.932266593, 742.229000000]: Got new plan
[ INFO] [1564001400.062744167, 744.228000000]: Got new plan
[ INFO] [1564001402.182565966, 746.229000000]: Got new plan
[ INFO] [1564001404.271905434, 748.228000000]: Got new plan
[ INFO] [1564001406.365389833, 750.228000000]: Got new plan
[ INFO] [1564001408.454387395, 752.228000000]: Got new plan
[ INFO] [1564001410.568519232, 754.228000000]: Got new plan
[ INFO] [1564001412.718899402, 756.228000000]: Got new plan
[ INFO] [1564001414.865592560, 758.228000000]: Got new plan
[ INFO] [1564001417.007587142, 760.228000000]: Got new plan
[ INFO] [1564001419.150700410, 762.228000000]: Got new plan
[ INFO] [1564001421.312437459, 764.228000000]: Got new plan
[ INFO] [1564001423.473523864, 766.228000000]: Got new plan
[ INFO] [1564001425.681335653, 768.228000000]: Got new plan
[ INFO] [1564001427.852183329, 770.228000000]: Got new plan
[ INFO] [1564001430.002851588, 772.228000000]: Got new plan
[ INFO] [1564001432.154012297, 774.228000000]: Got new plan
[ INFO] [1564001434.454588077, 776.228000000]: Got new plan
[ INFO] [1564001436.842293441, 778.228000000]: Got new plan
[ INFO] [1564001439.126348437, 780.229000000]: Got new plan
[ INFO] [1564001441.402474144, 782.231000000]: Got new plan
[ INFO] [1564001443.652263153, 784.233000000]: Got new plan
[ERROR] [1564001449.516691807, 789.628000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001455.133814521, 794.829000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564001460.737243035, 800.029000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564001460.954939397, 800.230000000]: Got new plan
[ INFO] [1564001463.107807260, 802.231000000]: Got new plan
[ INFO] [1564001469.513527378, 808.230000000]: Got new plan
[ INFO] [1564001471.641055583, 810.231000000]: Got new plan
[ INFO] [1564001473.749365595, 812.230000000]: Got new plan
[ INFO] [1564001475.862124919, 814.230000000]: Got new plan
[ INFO] [1564001477.984410360, 816.230000000]: Got new plan
[ INFO] [1564001480.137301472, 818.230000000]: Got new plan
[ INFO] [1564001482.272632099, 820.230000000]: Got new plan
[ INFO] [1564001484.381841033, 822.230000000]: Got new plan
[ INFO] [1564001486.505563664, 824.230000000]: Got new plan
[ INFO] [1564001488.604950142, 826.232000000]: Got new plan
[ INFO] [1564001490.705654953, 828.230000000]: Got new plan
[ INFO] [1564001492.812253732, 830.230000000]: Got new plan
[ INFO] [1564001494.914463387, 832.231000000]: Got new plan
[ INFO] [1564001497.048525030, 834.230000000]: Got new plan
[ INFO] [1564001499.222359579, 836.230000000]: Got new plan
