[ INFO] [1564002496.282380560, 21.788000000]: odom received!
[ERROR] [1564002512.764540617, 37.038000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564002512.981985761, 37.238000000]: Got new plan
[ INFO] [1564002515.156397283, 39.238000000]: Got new plan
[ INFO] [1564002517.314172543, 41.238000000]: Got new plan
[ INFO] [1564002519.458443479, 43.238000000]: Got new plan
[ INFO] [1564002521.593939392, 45.238000000]: Got new plan
[ INFO] [1564002523.695256088, 47.238000000]: Got new plan
[ INFO] [1564002525.833696919, 49.238000000]: Got new plan
[ INFO] [1564002527.976415235, 51.239000000]: Got new plan
[ INFO] [1564002530.404411738, 53.238000000]: Got new plan
[ INFO] [1564002532.732220171, 55.239000000]: Got new plan
[ INFO] [1564002534.927298586, 57.239000000]: Got new plan
[ INFO] [1564002537.075397580, 59.241000000]: Got new plan
[ INFO] [1564002538.396450068, 60.439000000]: Goal reached
[ INFO] [1564002565.302836039, 84.485000000]: Got new plan
[ INFO] [1564002567.483250921, 86.485000000]: Got new plan
[ INFO] [1564002569.652836556, 88.485000000]: Got new plan
[ INFO] [1564002571.839041016, 90.486000000]: Got new plan
[ INFO] [1564002574.038267065, 92.485000000]: Got new plan
[ INFO] [1564002576.232914374, 94.485000000]: Got new plan
[ INFO] [1564002578.413809811, 96.485000000]: Got new plan
[ INFO] [1564002578.414063767, 96.485000000]: Goal reached
[ERROR] [1564002611.780920773, 126.779000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564002617.387674404, 131.980000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564002622.960342751, 137.182000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1564002623.177164223, 137.385000000]: Got new plan
[ INFO] [1564002625.325834992, 139.385000000]: Got new plan
[ INFO] [1564002627.447021375, 141.384000000]: Got new plan
[ INFO] [1564002629.533636820, 143.384000000]: Got new plan
[ INFO] [1564002631.650007432, 145.384000000]: Got new plan
[ INFO] [1564002633.755031052, 147.384000000]: Got new plan
[ INFO] [1564002635.844584736, 149.384000000]: Got new plan
[ INFO] [1564002637.970542067, 151.384000000]: Got new plan
[ INFO] [1564002638.401212460, 151.784000000]: Goal reached
[ INFO] [1564002669.864956179, 180.373000000]: Got new plan
[ INFO] [1564002672.036392241, 182.375000000]: Got new plan
[ INFO] [1564002674.184644384, 184.373000000]: Got new plan
[ INFO] [1564002676.299958670, 186.373000000]: Got new plan
[ INFO] [1564002678.399601295, 188.373000000]: Got new plan
[ INFO] [1564002680.505794696, 190.374000000]: Got new plan
[ INFO] [1564002682.599884873, 192.374000000]: Got new plan
[ INFO] [1564002684.689847462, 194.374000000]: Got new plan
[ INFO] [1564002686.784465332, 196.373000000]: Got new plan
[ INFO] [1564002688.858495141, 198.373000000]: Got new plan
[ INFO] [1564002690.943493756, 200.373000000]: Got new plan
[ INFO] [1564002693.043540318, 202.373000000]: Got new plan
[ INFO] [1564002695.190197848, 204.373000000]: Got new plan
[ INFO] [1564002697.339436517, 206.373000000]: Got new plan
[ INFO] [1564002699.493710500, 208.373000000]: Got new plan
[ INFO] [1564002701.626782430, 210.374000000]: Got new plan
[ INFO] [1564002703.772063452, 212.374000000]: Got new plan
[ INFO] [1564002705.902911893, 214.373000000]: Got new plan
[ INFO] [1564002708.029842004, 216.373000000]: Got new plan
[ INFO] [1564002710.146430493, 218.374000000]: Got new plan
[ INFO] [1564002712.234322510, 220.374000000]: Got new plan
[ INFO] [1564002714.317869214, 222.376000000]: Got new plan
[ INFO] [1564002716.402327420, 224.373000000]: Got new plan
[ INFO] [1564002718.485906077, 226.373000000]: Got new plan
[ INFO] [1564002720.594162902, 228.373000000]: Got new plan
[ INFO] [1564002722.720417749, 230.373000000]: Got new plan
[ INFO] [1564002724.875771716, 232.373000000]: Got new plan
[ INFO] [1564002727.027590270, 234.373000000]: Got new plan
[ INFO] [1564002729.204570390, 236.374000000]: Got new plan
[ INFO] [1564002731.396120312, 238.373000000]: Got new plan
[ INFO] [1564002733.620298764, 240.373000000]: Got new plan
[ERROR] [1564002739.327319728, 245.573000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1564002745.020917640, 250.774000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
