[ INFO] [1567674513.937198643, 13.142000000]: odom received!
[ INFO] [1567674519.164984622, 17.536000000]: Got new plan
[ INFO] [1567674521.472494815, 19.536000000]: Got new plan
[ INFO] [1567674523.740779728, 21.537000000]: Got new plan
[ INFO] [1567674526.037685651, 23.536000000]: Got new plan
[ INFO] [1567674528.310965196, 25.536000000]: Got new plan
[ INFO] [1567674530.627507424, 27.536000000]: Got new plan
[ INFO] [1567674532.992390194, 29.536000000]: Got new plan
[ INFO] [1567674535.251063037, 31.536000000]: Got new plan
[ INFO] [1567674537.522191389, 33.536000000]: Got new plan
[ INFO] [1567674539.765339850, 35.536000000]: Got new plan
[ INFO] [1567674542.029743353, 37.536000000]: Got new plan
[ INFO] [1567674544.248910381, 39.536000000]: Got new plan
[ INFO] [1567674546.501475770, 41.536000000]: Got new plan
[ INFO] [1567674548.860757095, 43.540000000]: Got new plan
[ INFO] [1567674551.208244944, 45.536000000]: Got new plan
[ INFO] [1567674553.536466324, 47.537000000]: Got new plan
[ INFO] [1567674555.851930079, 49.536000000]: Got new plan
[ INFO] [1567674558.130851774, 51.536000000]: Got new plan
[ INFO] [1567674560.424469314, 53.536000000]: Got new plan
[ INFO] [1567674560.650468884, 53.736000000]: Goal reached
[ INFO] [1567674589.509166977, 77.985000000]: Got new plan
[ INFO] [1567674591.858319452, 79.985000000]: Got new plan
[ INFO] [1567674594.197495378, 81.986000000]: Got new plan
[ INFO] [1567674596.580038170, 83.984000000]: Got new plan
[ INFO] [1567674598.926787205, 85.984000000]: Got new plan
[ INFO] [1567674601.297661174, 87.984000000]: Got new plan
[ INFO] [1567674603.620298106, 89.984000000]: Got new plan
[ INFO] [1567674605.968243430, 91.984000000]: Got new plan
[ INFO] [1567674608.342668059, 93.984000000]: Got new plan
[ INFO] [1567674610.723475121, 95.985000000]: Got new plan
[ INFO] [1567674613.121195971, 97.985000000]: Got new plan
[ INFO] [1567674615.405452123, 99.986000000]: Got new plan
[ INFO] [1567674617.671958370, 101.986000000]: Got new plan
[ INFO] [1567674619.965559351, 103.984000000]: Got new plan
[ INFO] [1567674622.250401680, 105.984000000]: Got new plan
[ INFO] [1567674624.544146139, 107.985000000]: Got new plan
[ INFO] [1567674626.799444752, 109.984000000]: Got new plan
[ INFO] [1567674629.077088306, 111.984000000]: Got new plan
[ INFO] [1567674631.373248102, 113.985000000]: Got new plan
[ INFO] [1567674633.631653633, 115.984000000]: Got new plan
[ INFO] [1567674635.931025358, 117.987000000]: Got new plan
[ INFO] [1567674638.319820167, 119.985000000]: Got new plan
[ INFO] [1567674640.630116560, 121.984000000]: Got new plan
[ INFO] [1567674643.060560669, 123.987000000]: Got new plan
[ INFO] [1567674645.416641801, 125.984000000]: Got new plan
[ INFO] [1567674647.825476255, 127.984000000]: Got new plan
[ INFO] [1567674649.004845047, 128.984000000]: Got new plan
[ INFO] [1567674651.369030639, 130.985000000]: Got new plan
[ INFO] [1567674653.734458400, 132.987000000]: Got new plan
[ INFO] [1567674656.169296187, 134.985000000]: Got new plan
[ INFO] [1567674658.505522635, 136.984000000]: Got new plan
[ INFO] [1567674660.934945578, 138.984000000]: Got new plan
[ INFO] [1567674663.312263423, 140.984000000]: Got new plan
[ INFO] [1567674665.699975630, 142.984000000]: Got new plan
[ INFO] [1567674668.164532487, 144.984000000]: Got new plan
[ INFO] [1567674670.716436419, 146.984000000]: Got new plan
[ INFO] [1567674675.813374144, 150.984000000]: Got new plan
[ INFO] [1567674676.563420977, 151.584000000]: Goal reached

