[ INFO] [1563996431.432788093, 71.135000000]: odom received!
[ INFO] [1563996452.877952359, 91.488000000]: Got new plan
[ INFO] [1563996454.956521939, 93.487000000]: Got new plan
[ INFO] [1563996457.031622203, 95.487000000]: Got new plan
[ INFO] [1563996459.083490357, 97.487000000]: Got new plan
[ INFO] [1563996461.141780287, 99.487000000]: Got new plan
[ INFO] [1563996463.247601482, 101.487000000]: Got new plan
[ INFO] [1563996465.354720172, 103.487000000]: Got new plan
[ INFO] [1563996467.426265761, 105.487000000]: Got new plan
[ INFO] [1563996469.510860628, 107.487000000]: Got new plan
[ INFO] [1563996471.568468492, 109.487000000]: Got new plan
[ INFO] [1563996473.627867410, 111.487000000]: Got new plan
[ INFO] [1563996475.698187182, 113.488000000]: Got new plan
[ INFO] [1563996477.777776962, 115.487000000]: Got new plan
[ INFO] [1563996479.856543000, 117.487000000]: Got new plan
[ INFO] [1563996481.928959453, 119.488000000]: Got new plan
[ INFO] [1563996484.043434725, 121.487000000]: Got new plan
[ INFO] [1563996486.155301628, 123.487000000]: Got new plan
[ INFO] [1563996488.257327337, 125.487000000]: Got new plan
[ INFO] [1563996494.014103747, 130.888000000]: Goal reached
[ERROR] [1563996539.384202070, 172.765000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563996539.602157273, 172.965000000]: Got new plan
[ INFO] [1563996541.741707423, 174.965000000]: Got new plan
[ INFO] [1563996543.871597860, 176.965000000]: Got new plan
[ INFO] [1563996546.016741243, 178.965000000]: Got new plan
[ INFO] [1563996548.124518255, 180.965000000]: Got new plan
[ INFO] [1563996550.219706245, 182.965000000]: Got new plan
[ INFO] [1563996552.322537141, 184.966000000]: Got new plan
[ INFO] [1563996554.447949735, 186.965000000]: Got new plan
[ INFO] [1563996556.572845818, 188.965000000]: Got new plan
[ INFO] [1563996558.736900378, 190.965000000]: Got new plan
[ INFO] [1563996560.880275935, 192.965000000]: Got new plan
[ INFO] [1563996563.040831920, 194.966000000]: Got new plan
[ INFO] [1563996565.173726035, 196.966000000]: Got new plan
[ INFO] [1563996567.247747154, 198.966000000]: Got new plan
[ INFO] [1563996569.403152445, 200.965000000]: Got new plan
[ INFO] [1563996571.366255947, 202.766000000]: Goal reached
[ERROR] [1563996623.515358894, 249.952000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563996629.161426617, 255.154000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563996634.832958499, 260.355000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563996640.455343857, 265.556000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563996640.676267190, 265.757000000]: Got new plan
[ INFO] [1563996642.851059084, 267.757000000]: Got new plan
[ INFO] [1563996653.263810979, 277.757000000]: Got new plan
[ INFO] [1563996655.350021527, 279.758000000]: Got new plan
[ INFO] [1563996657.417205072, 281.757000000]: Got new plan
[ INFO] [1563996659.474047575, 283.757000000]: Got new plan
[ INFO] [1563996661.553591731, 285.757000000]: Got new plan
[ INFO] [1563996663.661950546, 287.757000000]: Got new plan
[ INFO] [1563996665.792353796, 289.757000000]: Got new plan
[ INFO] [1563996667.906316642, 291.757000000]: Got new plan
[ INFO] [1563996669.986911920, 293.757000000]: Got new plan
[ INFO] [1563996672.082938468, 295.757000000]: Got new plan
[ INFO] [1563996674.164941469, 297.758000000]: Got new plan
[ INFO] [1563996676.252686978, 299.758000000]: Got new plan
[ INFO] [1563996678.332411838, 301.757000000]: Got new plan
[ INFO] [1563996680.408001193, 303.757000000]: Got new plan
[ INFO] [1563996682.496730861, 305.758000000]: Got new plan
[ INFO] [1563996684.587367169, 307.758000000]: Got new plan
[ INFO] [1563996686.664976765, 309.757000000]: Got new plan
[ INFO] [1563996688.741549829, 311.757000000]: Got new plan
[ INFO] [1563996690.813823647, 313.757000000]: Got new plan
[ INFO] [1563996692.930240901, 315.757000000]: Got new plan
[ INFO] [1563996695.040991060, 317.757000000]: Got new plan
[ INFO] [1563996697.167697123, 319.757000000]: Got new plan
[ INFO] [1563996699.307317594, 321.757000000]: Got new plan
[ INFO] [1563996701.460275523, 323.757000000]: Got new plan
[ERROR] [1563996709.245716071, 330.957000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563996714.852736916, 336.158000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563996720.480500471, 341.359000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ERROR] [1563996758.900598025, 376.268000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
[ INFO] [1563996759.120330478, 376.469000000]: Got new plan
[ INFO] [1563996761.300169948, 378.469000000]: Got new plan
[ INFO] [1563996763.407331609, 380.469000000]: Got new plan
[ INFO] [1563996765.486133073, 382.469000000]: Got new plan
[ INFO] [1563996767.580250481, 384.469000000]: Got new plan
[ INFO] [1563996769.690752492, 386.469000000]: Got new plan
[ INFO] [1563996771.743522027, 388.469000000]: Got new plan
[ INFO] [1563996773.807588879, 390.469000000]: Got new plan
[ INFO] [1563996775.888669212, 392.469000000]: Got new plan
[ INFO] [1563996777.957594144, 394.470000000]: Got new plan
[ INFO] [1563996780.051435532, 396.469000000]: Got new plan
[ INFO] [1563996782.147501968, 398.469000000]: Got new plan
[ INFO] [1563996784.232745155, 400.469000000]: Got new plan
[ INFO] [1563996786.319612047, 402.469000000]: Got new plan
[ INFO] [1563996788.410749676, 404.470000000]: Got new plan
[ INFO] [1563996790.516581285, 406.470000000]: Got new plan
[ INFO] [1563996792.605517514, 408.469000000]: Got new plan
[ INFO] [1563996794.702816275, 410.471000000]: Got new plan
[ INFO] [1563996796.815928356, 412.469000000]: Got new plan
[ INFO] [1563996798.921581455, 414.469000000]: Got new plan
[ INFO] [1563996801.025569215, 416.469000000]: Got new plan
[ INFO] [1563996803.100663673, 418.469000000]: Got new plan
[ INFO] [1563996805.193627352, 420.469000000]: Got new plan
[ INFO] [1563996807.278713049, 422.469000000]: Got new plan
[ INFO] [1563996809.359228265, 424.469000000]: Got new plan
[ INFO] [1563996811.429723625, 426.470000000]: Got new plan
[ INFO] [1563996813.496954737, 428.470000000]: Got new plan
[ INFO] [1563996815.579292256, 430.469000000]: Got new plan
[ INFO] [1563996817.692495417, 432.469000000]: Got new plan
[ INFO] [1563996819.802185247, 434.469000000]: Got new plan
[ INFO] [1563996821.907492332, 436.469000000]: Got new plan
[ INFO] [1563996822.119362607, 436.671000000]: Got new plan
[ INFO] [1563996824.209236758, 438.670000000]: Got new plan
[ INFO] [1563996826.271273831, 440.669000000]: Got new plan
[ INFO] [1563996828.367560280, 442.669000000]: Got new plan
[ INFO] [1563996830.481121728, 444.669000000]: Got new plan
[ INFO] [1563996832.606090034, 446.669000000]: Got new plan
[ INFO] [1563996834.736282222, 448.669000000]: Got new plan
[ INFO] [1563996835.600893759, 449.471000000]: Goal reached
[ERROR] [1563996878.200021493, 488.623000000]: Aborting because a valid plan could not be found. Even after executing all recovery behaviors
